rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
74,frame_0328.jpg,131.2,0.5421,0.7094,0.5714,0.08,7,4,False,False
75,frame_0367.jpg,146.8,0.5388,0.6171,0.7143,0.08,9,5,False,False
76,frame_0124.jpg,49.6,0.5331,0.537,0.4286,0.68,6,3,False,False
77,frame_0295.jpg,118.0,0.533,0.6225,0.2857,0.68,6,2,False,False
78,frame_0385.jpg,154.0,0.5317,0.6406,0.5714,0.2,9,4,False,False
79,frame_0209.jpg,83.6,0.5308,0.6021,0.2857,0.72,3,2,False,False
80,frame_0183.jpg,73.2,0.5306,0.788,0.4286,0.04,4,3,False,False
81,frame_0306.jpg,122.4,0.5276,0.7021,0.4286,0.24,7,3,False,False
82,frame_0278.jpg,111.2,0.5257,0.5806,0.5714,0.32,8,4,False,False
83,frame_0279.jpg,111.6,0.5255,0.5641,0.5714,0.36,6,4,False,False
84,frame_0388.jpg,155.2,0.5229,0.5532,0.7143,0.16,10,5,False,False
85,frame_0122.jpg,48.8,0.5227,0.5483,0.4286,0.6,3,3,False,False
86,frame_0378.jpg,151.2,0.5198,0.5791,0.7143,0.08,9,5,False,False
87,frame_0293.jpg,117.2,0.5162,0.4712,0.4286,0.76,7,3,False,False
88,frame_0132.jpg,52.8,0.5152,0.459,0.2857,1.0,5,2,False,False
89,frame_0276.jpg,110.4,0.5137,0.6742,0.4286,0.24,8,3,False,False
90,frame_0389.jpg,155.6,0.5118,0.7185,0.4286,0.12,7,3,False,False
91,frame_0131.jpg,52.4,0.5088,0.4621,0.2857,0.96,4,2,False,False
92,frame_0210.jpg,84.0,0.507,0.4848,0.4286,0.68,5,3,False,False
93,frame_0123.jpg,49.2,0.5062,0.7564,0.0,0.64,5,0,False,False
94,frame_0126.jpg,50.4,0.5011,0.5268,0.2857,0.76,5,2,False,False
95,frame_0372.jpg,148.8,0.5006,0.5247,0.7143,0.12,6,5,False,False
96,frame_0398.jpg,159.2,0.4936,0.6341,0.4286,0.24,7,3,False,False
97,frame_0191.jpg,76.4,0.4915,0.7475,0.2857,0.16,3,2,False,False
98,frame_0012.jpg,4.8,0.4903,0.4091,0.2857,1.0,4,2,False,False
99,frame_0303.jpg,121.2,0.485,0.4831,0.5714,0.36,7,4,False,False
100,frame_0010.jpg,4.0,0.4835,0.4813,0.1429,1.0,3,1,False,False
101,frame_0013.jpg,5.2,0.4824,0.4791,0.1429,1.0,3,1,False,False
102,frame_0175.jpg,70.0,0.4814,0.5936,0.4286,0.28,5,3,False,False
103,frame_0069.jpg,27.6,0.4807,0.39,0.2857,1.0,6,2,False,False
104,frame_0193.jpg,77.2,0.4795,0.5201,0.5714,0.24,6,4,False,False
105,frame_0304.jpg,121.6,0.4792,0.5733,0.4286,0.32,8,3,False,False
106,frame_0297.jpg,118.8,0.479,0.6322,0.1429,0.6,6,1,False,False
107,frame_0299.jpg,119.6,0.4775,0.4899,0.4286,0.52,8,3,False,False
108,frame_0177.jpg,70.8,0.4772,0.5316,0.5714,0.2,6,4,False,False
109,frame_0330.jpg,132.0,0.4753,0.5917,0.5714,0.04,8,4,False,False
110,frame_0374.jpg,149.6,0.4752,0.6132,0.4286,0.2,8,3,False,False
111,frame_0327.jpg,130.8,0.4745,0.6759,0.4286,0.04,8,3,False,False
112,frame_0277.jpg,110.8,0.4716,0.574,0.4286,0.28,8,3,False,False
113,frame_0006.jpg,2.4,0.4713,0.3712,0.2857,1.0,4,2,False,False
114,frame_0280.jpg,112.0,0.4711,0.6108,0.2857,0.4,8,2,False,False
115,frame_0379.jpg,151.6,0.4692,0.5796,0.5714,0.04,8,4,False,False
116,frame_0307.jpg,122.8,0.469,0.5152,0.5714,0.2,8,4,False,False
117,frame_0371.jpg,148.4,0.468,0.5612,0.5714,0.08,5,4,False,False
118,frame_0318.jpg,127.2,0.467,0.4952,0.5714,0.24,9,4,False,False
119,frame_0108.jpg,43.2,0.4651,0.5714,0.5714,0.04,5,4,False,False
120,frame_0027.jpg,10.8,0.4629,0.4401,0.1429,1.0,5,1,False,False
121,frame_0232.jpg,92.8,0.4572,0.4915,0.5714,0.2,6,4,False,False
122,frame_0281.jpg,112.4,0.4547,0.4763,0.4286,0.44,5,3,False,False
123,frame_0289.jpg,115.6,0.4546,0.5194,0.1429,0.76,5,1,False,False
124,frame_0305.jpg,122.0,0.4545,0.4541,0.5714,0.28,7,4,False,False
125,frame_0125.jpg,50.0,0.4525,0.4456,0.2857,0.72,4,2,False,False
126,frame_0176.jpg,70.4,0.4521,0.5511,0.4286,0.24,7,3,False,False
